672,N,Unknown,Unknown,1950,WM
673,N,House,Mid Terraced,1910,NW
674,N,House,Detached,1972,WM
675,N,House,Semi-Detached,1954,WM
676,N,House,Semi-Detached,1995,OS
677,N,House,Detached,1967,WM
678,N,House,Mid Terraced,1910,LN
679,N,House,Mid Terraced,,LN
680,N,House,Mid Terraced,1905,NT
681,N,Flat,Unknown,1800,LN
682,N,House,Mid Terraced,2005,WM
683,N,House,Mid Terraced,1905,LN
684,N,House,Detached,1994,OM
685,N,House,Semi-Detached,,SC
686,N,House,Mid Terraced,1970,OS
687,N,House,Semi-Detached,1955,OS
688,N,Flat,Unknown,2003,NW
689,N,Unknown,Unknown,1990,WM
690,N,House,Semi-Detached,2003,NW
691,N,House,Mid Terraced,1978,WM
692,N,House,Mid Terraced,1980,SW
693,N,House,Semi-Detached,,WM
694,N,House,Detached,1970,NT
695,N,House,Detached,1970,OS
696,N,House,Mid Terraced,1975,YH
697,N,House,Detached,1700,SW
698,N,Flat,Unknown,1965,WM
699,N,House,Semi-Detached,1935,LN
700,N,House,Semi-Detached,1935,WM
701,N,Unknown,Unknown,1900,NW
702,N,House,Mid Terraced,,NW
703,N,House,Mid Terraced,1700,SW
704,N,Bungalow,Detached,1981,OM
705,N,House,Semi-Detached,1900,SW
706,N,Flat,Unknown,2000,OM
707,N,House,Mid Terraced,1903,EM
708,N,House,Mid Terraced,1900,NW
709,N,Unknown,Unknown,1935,WM
710,N,Unknown,Unknown,1986,OM
711,N,House,Semi-Detached,1910,WM
712,Y,House,Mid Terraced,1955,OM
713,N,House,Semi-Detached,1994,NW
714,N,House,Mid Terraced,1950,NT
715,N,House,Semi-Detached,1934,OM
716,N,House,Semi-Detached,1995,WM
717,N,House,Detached,1980,EM
718,N,Flat,Unknown,1989,WM
719,N,Bungalow,Semi-Detached,1955,NW
720,N,House,Mid Terraced,1948,EM
721,N,Flat,Unknown,1920,LN
722,N,House,Semi-Detached,1950,SW
723,N,House,Mid Terraced,1999,SW
724,N,House,Semi-Detached,1800,EA
725,N,House,Semi-Detached,,WM
726,N,Flat,Unknown,1985,WM
727,N,House,Detached,2005,NW
728,N,House,Detached,2005,NW
729,N,Unknown,Unknown,1960,WM
730,N,House,Semi-Detached,1930,LN
731,N,House,Mid Terraced,1900,LN
732,N,House,Mid Terraced,,OS
